condition,theme_a,theme_b,cosine,human_similarity,rated
loweffort,"Decentralized, Mobile, and Satellite Trial Sites",Patient and Caregiver Voice Should Shape Policy,0.48090011555412615,,False
loweffort,"Decentralized, Mobile, and Satellite Trial Sites","Hope, Compassion, and Human Suffering",0.4002745130445166,,False
loweffort,"Decentralized, Mobile, and Satellite Trial Sites",Frustration With Lack of Effective Treatments,0.41565410996780167,,False
loweffort,Alternative Endpoints Beyond Survival,Patient Autonomy and Right to Choose Risk,0.4502933033648087,,False
loweffort,Alternative Endpoints Beyond Survival,Criticism of FDA Processes and Regulatory Conservatism,0.4483815430130495,,False
loweffort,Alternative Endpoints Beyond Survival,Learning from Other Diseases (Especially HIV/AIDS),0.558217472646771,,False
loweffort,Alternative Endpoints Beyond Survival,Patient and Caregiver Voice Should Shape Policy,0.5383898043785722,,False
loweffort,Alternative Endpoints Beyond Survival,"Hope, Compassion, and Human Suffering",0.5095357842844875,,False
loweffort,Alternative Endpoints Beyond Survival,Frustration With Lack of Effective Treatments,0.4940478410091415,,False
loweffort,Patient Autonomy and Right to Choose Risk,Criticism of FDA Processes and Regulatory Conservatism,0.41770513151152355,,False
loweffort,Patient Autonomy and Right to Choose Risk,Learning from Other Diseases (Especially HIV/AIDS),0.43865913231165776,,False
loweffort,Patient Autonomy and Right to Choose Risk,Patient and Caregiver Voice Should Shape Policy,0.5453173449831138,,False
loweffort,Patient Autonomy and Right to Choose Risk,"Hope, Compassion, and Human Suffering",0.4928626972797838,,False
loweffort,Patient Autonomy and Right to Choose Risk,Frustration With Lack of Effective Treatments,0.3694522329964723,,False
loweffort,Criticism of FDA Processes and Regulatory Conservatism,Learning from Other Diseases (Especially HIV/AIDS),0.48753123796258335,,False
loweffort,Criticism of FDA Processes and Regulatory Conservatism,Patient and Caregiver Voice Should Shape Policy,0.5071262296891315,,False
loweffort,Criticism of FDA Processes and Regulatory Conservatism,"Hope, Compassion, and Human Suffering",0.3453675684187113,,False
loweffort,Criticism of FDA Processes and Regulatory Conservatism,Frustration With Lack of Effective Treatments,0.4730201222889286,,False
loweffort,Learning from Other Diseases (Especially HIV/AIDS),Patient and Caregiver Voice Should Shape Policy,0.6079213235261994,,False
loweffort,Learning from Other Diseases (Especially HIV/AIDS),"Hope, Compassion, and Human Suffering",0.4375164333246986,,False
loweffort,Learning from Other Diseases (Especially HIV/AIDS),Frustration With Lack of Effective Treatments,0.5330601613575071,,False
loweffort,Patient and Caregiver Voice Should Shape Policy,"Hope, Compassion, and Human Suffering",0.5344943380100066,,False
loweffort,Patient and Caregiver Voice Should Shape Policy,Frustration With Lack of Effective Treatments,0.5152842401245532,,False
loweffort,"Hope, Compassion, and Human Suffering",Frustration With Lack of Effective Treatments,0.5159911830852628,,False
engineered,ALS progression is incompatible with conventional drug approval timelines,Patients should be allowed to choose early access to promising treatments,0.6848569067138065,,False
engineered,ALS progression is incompatible with conventional drug approval timelines,Clinical trial design should be modernized and tailored to ALS,0.694046691412725,,False
engineered,ALS progression is incompatible with conventional drug approval timelines,Current evidentiary standards are viewed as ethically inappropriate for a terminal disease,0.6586597569393062,,False
engineered,ALS progression is incompatible with conventional drug approval timelines,Trials should be more inclusive and accessible to the ALS population,0.5970001275877108,,False
engineered,ALS progression is incompatible with conventional drug approval timelines,The ALS community feels unheard and believes guidance fails to reflect lived experience,0.6120476590812352,,False
engineered,Patients should be allowed to choose early access to promising treatments,Clinical trial design should be modernized and tailored to ALS,0.6402686830494086,,False
engineered,Patients should be allowed to choose early access to promising treatments,Current evidentiary standards are viewed as ethically inappropriate for a terminal disease,0.6514433411490047,,False
engineered,Patients should be allowed to choose early access to promising treatments,Trials should be more inclusive and accessible to the ALS population,0.6758592296770902,,False
engineered,Patients should be allowed to choose early access to promising treatments,The ALS community feels unheard and believes guidance fails to reflect lived experience,0.5507473089569098,,False
engineered,Clinical trial design should be modernized and tailored to ALS,Current evidentiary standards are viewed as ethically inappropriate for a terminal disease,0.6306013483184195,,False
engineered,Clinical trial design should be modernized and tailored to ALS,Trials should be more inclusive and accessible to the ALS population,0.7458847110269704,,False
engineered,Clinical trial design should be modernized and tailored to ALS,The ALS community feels unheard and believes guidance fails to reflect lived experience,0.5595076314994495,,False
engineered,Current evidentiary standards are viewed as ethically inappropriate for a terminal disease,Trials should be more inclusive and accessible to the ALS population,0.603698788591356,,False
engineered,Current evidentiary standards are viewed as ethically inappropriate for a terminal disease,The ALS community feels unheard and believes guidance fails to reflect lived experience,0.5577178092331417,,False
engineered,Trials should be more inclusive and accessible to the ALS population,The ALS community feels unheard and believes guidance fails to reflect lived experience,0.6078604261859092,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,0.7448906673702776,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,0.726558001065835,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,0.7470343416006198,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,ANGER Subtheme: Appeal to emotion through anger,0.5721509100258494,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,PLEADING Subtheme: Appeal to emotion through pleading,0.6364344368159688,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,0.6412828298406064,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.6682230950661764,,False
human,MISUNDERSTOOD Subtheme: ALS community feels misunderstood by the FDA,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.5635573152866388,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,0.6929519139145363,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,0.6750031554370813,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,ANGER Subtheme: Appeal to emotion through anger,0.5625286020130652,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,PLEADING Subtheme: Appeal to emotion through pleading,0.5493965691769211,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,0.5996366074728143,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.5877399498429222,,False
human,PRACTICAL CONSTRAINTS Subtheme: The ALS community has a hard time coming to terms with the idea that FDA systems and practices are subject to practical constraints.,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.6204133685684234,,False
human,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,0.7041484400448041,,False
human,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,ANGER Subtheme: Appeal to emotion through anger,0.6095173599655742,,False
human,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,PLEADING Subtheme: Appeal to emotion through pleading,0.6389555623236667,,False
human,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,0.6230208637670961,,False
human,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.6932233574242466,,False
human,ENTITLEMENT Subtheme: The ALS community feels the FDA should have less power over what affects their life.,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.5722955459272897,,False
human,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,ANGER Subtheme: Appeal to emotion through anger,0.5731166055866899,,False
human,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,PLEADING Subtheme: Appeal to emotion through pleading,0.5695171199628198,,False
human,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,0.6506956559579699,,False
human,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.6219209991665119,,False
human,AGENTIFICATION Subtheme: The ALS community views what “entity” the FDA is differently,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.5610653283662623,,False
human,ANGER Subtheme: Appeal to emotion through anger,PLEADING Subtheme: Appeal to emotion through pleading,0.7315528625291309,,False
human,ANGER Subtheme: Appeal to emotion through anger,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,0.5470224586030021,,False
human,ANGER Subtheme: Appeal to emotion through anger,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.5889133708766946,,False
human,ANGER Subtheme: Appeal to emotion through anger,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.6233868705792587,,False
human,PLEADING Subtheme: Appeal to emotion through pleading,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,0.6632246520055315,,False
human,PLEADING Subtheme: Appeal to emotion through pleading,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.6665532092363747,,False
human,PLEADING Subtheme: Appeal to emotion through pleading,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.6662018053975081,,False
human,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,0.6149037521280356,,False
human,CREDIBILITY Subtheme: Appeal to credibility through personal relation to ALS,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.6596971674174424,,False
human,VOICE/CONTROL The ALS community uses the comments as a place to have a voice and/or feel some sort of control,LOGIC Subtheme: Appeal to logic through reasoning for suggestions,0.5734315833905177,,False
